"from_year","to_year","level","from_code","to_code","to_code_all","source_pair"
"2011","2017","M","874","884","884","2011_2017"
"2011","2017","M","875","885","885","2011_2017"
"2011","2017","M","876","886","886","2011_2017"
"2011","2017","M","877","887","887","2011_2017"
"2011","2017","M","879","889","889","2011_2017"
"2011","2017","M","881","891","891","2011_2017"
"2011","2017","M","882","892","892","2011_2017"
"2011","2017","M","883","893","893","2011_2017"
"2011","2017","M","889","891","899","2011_2017"
"2011","2017","M","889","899","899","2011_2017"
"2011","2017","M","891","901","901","2011_2017"
"2011","2017","M","892","902","902","2011_2017"
"2011","2017","M","893","904","904","2011_2017"
"2011","2017","M","894","905","905","2011_2017"
"2011","2017","M","899","903","90","2011_2017"
"2011","2017","M","899","909","90","2011_2017"
"2011","2017","M","900","910","910","2011_2017"
"2011","2017","M","911","921","921","2011_2017"
"2011","2017","M","912","922","922","2011_2017"
"2011","2017","M","913","923","923","2011_2017"
"2011","2017","M","919","929","929","2011_2017"
"2011","2017","M","921","931","931","2011_2017"
"2011","2017","M","922","932","932","2011_2017"
"2011","2017","M","930","941","941","2011_2017"
