"gb_year","gb_level","gb_code","isic_revision","isic_level","isic_code","source"
"2002","L","37","3","S","3592","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","3599","GB_T_4754_2002_ISIC_Rev3"
"2002","L","37","3","S","5020","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","L","29","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","L","31","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","L","32","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","291","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","293","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","311","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","312","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","313","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","314","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","315","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","319","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","M","321","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","2919","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","2930","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3110","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3120","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3130","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3140","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3150","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3190","GB_T_4754_2002_ISIC_Rev3"
"2002","L","39","3","S","3210","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","L","30","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","L","31","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","L","32","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","L","33","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","300","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","319","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","321","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","322","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","323","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","M","331","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3000","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3190","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3210","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3220","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3230","GB_T_4754_2002_ISIC_Rev3"
"2002","L","40","3","S","3312","GB_T_4754_2002_ISIC_Rev3"
"2002","L","41","3","L","30","GB_T_4754_2002_ISIC_Rev3"
